person_id,title,firm,location
63,Oracle Administrator,3k Technologies,"Hyderabad, Telangana"
64,DEVOPS DBA,XPO Logistics,"Charlotte, NC"
64,Independent SQL Consultant,,
64,Contract DBA,OIT- State of Colorado,"Denver, CO"
64,Database Specialist,Medtronic,"Boulder, CO"
64,Senior Database Administrator,LenderLive,"Glendale, CO, US"
64,Database Contractor,Ball Aerospace,"Lafayette, CO"
64,Lead Resource,Northrop Grumman,"Newport News, VA"
64,Database Consultant/BI Architect,"Polypore, Inc","Charlotte, NC"
64,ESOC SQL Database Administrator III,Science Applications International Corporation,"Charleston, SC"
64,Production Database Administrator,Employment Security Commission,"Raleigh, NC"
64,Sr SQL Server Support Engineer,Microsoft,"Charlotte, NC"
65,Oracle Database Senior Technical Engineer,Oracle Corp.,"Lehi, UT"
65,Oracle Database Administrator,United Guaranty,"Greensboro, NC"
65,Oracle Database Administrator,"Hanes Brands, Inc","Salem, NC"
66,Database Administrator,Posh Lane Freight,"Smyrna, GA"
66,Database Administrator,Apolinari Taxes & Multi-Services,
66,Network Technician,"Intown Suites - Atlanta, GA",
66,Technical Production Assistant,"Ceridian Inc - Atlanta, GA",
67,SQL Server Database Specialist/DBA,"NBTY, Inc","Long Island, NY"
67,SQL Server Database Administrator,North-Shore Medical Centre,"Boston, MA"
67,SQL Server DBA,MTA,"New York, NY"
68,Cyber Security Analyst/RMF Specialist (Veteran Affairs),Tech Global Solutions,"Columbia, MD"
68,Oracle Database Administrator,QSSI,
68,Oracle Database Administrator,Disys,"McLean, VA"
69,Oracle database administrator,Mutual benefits assurance Ltd.,Abuja
69,Oracle database administrator,World Access Cybercafé,Ibadan
70,Database Architect,"FINITY COMMUNICATIONS, INC","Portland, OR"
70,Developer,VACASA,"Portland, OR"
70,Database and Reporting Administrator,LINKTECH WORLDWIDE,"Beaverton, OR"
71,Oracle Database Administrator - Business Solutions,Ntt Data,Hyd
71,Database Administrator,Techmahindra,Texas
71,Software Engineer,Techmahindra,Pune
72,Oracle Database Administrator,United Health Group,"Hartford, CT"
72,Sr Oracle Database Administrator,Bristol Myers Squibb,"Wallingford, CT"
72,Oracle Database Administrator,"Ambac Financial Group, Inc","New York, NY"
72,Oracle Database Administrator,Bon Secours Health System,"Richmond, VA"
